ticket_id,customer_id,open_date_id,support_channel,contact_reason,ticket_status
91,2013,20230422,Store,Information,In Progress
92,175,20130419,Phone,Information,In Progress
93,1213,20221107,Website,Invoice question,Resolved
94,87,20250418,Phone,Cancellation request,In Progress
95,4137,20220124,App,Invoice question,Resolved
96,2167,20250531,Phone,Information,In Progress
97,130,20250101,Phone,Plan change,Pending
98,123,20250515,Phone,Information,In Progress
99,3570,20241216,Store,Cancellation request,In Progress
100,4739,20250313,Website,Information,Pending
101,2504,20151025,Social Media,Complaint,Resolved
102,3928,20250325,App,Complaint,Pending
103,2772,19960507,App,Invoice question,In Progress
104,4008,20161114,Website,Invoice question,In Progress
105,3296,20240707,Phone,Information,In Progress
106,3335,20150508,App,Technical issue,Pending
107,4206,20250505,Phone,Technical issue,Pending
108,2423,20001203,App,Invoice question,In Progress
109,1409,20151106,Phone,Information,Pending
110,1634,20170119,App,Plan change,In Progress
111,1546,20050128,Phone,Complaint,Pending
112,1890,20201218,Store,Technical issue,Resolved
113,4824,20210806,Social Media,Information,Resolved
114,3891,20170129,Social Media,Invoice question,In Progress
115,2786,19851026,Phone,Information,Pending
116,3330,20200818,Store,Technical issue,Resolved
117,4042,20240205,Social Media,Cancellation request,In Progress
118,4748,20141003,Social Media,Invoice question,In Progress
119,1123,20240203,Website,Complaint,Resolved
120,4586,20250522,Social Media,Complaint,In Progress
121,2945,20191209,Phone,Invoice question,Resolved
122,114,20230110,Phone,Technical issue,In Progress
123,798,20240904,Phone,Information,Pending
124,3746,19820805,Website,Complaint,Pending
125,1983,20210609,App,Cancellation request,Resolved
126,3926,20180813,Store,Plan change,Resolved
127,2741,20250417,Store,Technical issue,Resolved
128,2723,20250427,Store,Plan change,Resolved
129,4534,20220710,Phone,Information,Pending
130,559,20220404,Social Media,Invoice question,In Progress
131,3704,20221102,App,Invoice question,In Progress
132,4127,20241223,Phone,Information,Pending
133,2592,20190527,Store,Complaint,In Progress
134,2113,20180816,App,Technical issue,Resolved
135,3404,20211022,App,Cancellation request,In Progress
136,990,20240406,Social Media,Plan change,In Progress
137,1627,20110726,Store,Complaint,Resolved
138,4253,20200328,Website,Cancellation request,Pending
139,2712,20210506,App,Invoice question,Resolved
140,4371,20211119,Store,Information,Pending
141,212,20250105,Phone,Complaint,In Progress
142,2976,20040913,Phone,Invoice question,In Progress
143,2436,20010718,Store,Invoice question,Resolved
144,1029,20151020,App,Cancellation request,Resolved
145,1188,20121023,Social Media,Information,Resolved
146,128,19960222,Social Media,Invoice question,Pending
147,3470,20131224,Store,Cancellation request,Pending
148,4525,20030502,Phone,Information,In Progress
149,4695,20250429,Social Media,Invoice question,In Progress
150,3512,20250612,App,Technical issue,Pending
151,477,20140721,App,Cancellation request,Resolved
152,1424,20180228,Website,Complaint,Pending
153,1487,20201120,Website,Invoice question,In Progress
154,1516,20140604,Social Media,Complaint,In Progress
155,2482,20161223,Store,Plan change,In Progress
156,1032,20060802,Social Media,Complaint,In Progress
157,2037,20061129,App,Cancellation request,Pending
158,1379,20231106,Store,Invoice question,Pending
159,1381,20250317,Phone,Invoice question,Pending
160,4604,20221217,App,Complaint,Resolved
161,1045,20090913,Phone,Invoice question,Pending
162,1533,20220810,Phone,Cancellation request,Resolved
163,2150,20250417,Phone,Cancellation request,Pending
164,1824,20201217,App,Technical issue,Resolved
165,1091,20240906,Phone,Plan change,In Progress
166,1535,20160821,Phone,Technical issue,Resolved
167,1988,19881103,App,Cancellation request,Resolved
168,1250,20200719,App,Technical issue,Pending
169,658,19830704,Store,Plan change,In Progress
170,4294,20161119,Phone,Invoice question,In Progress
171,3228,20110110,Store,Invoice question,In Progress
172,1558,20070203,Store,Information,Resolved
173,2628,20200718,Website,Technical issue,In Progress
174,4269,20200309,Social Media,Invoice question,Pending
175,1387,20250207,Phone,Invoice question,In Progress
176,3346,20220614,Social Media,Information,Resolved
177,2274,20201018,Social Media,Technical issue,In Progress
178,1594,20200812,Social Media,Invoice question,Pending
179,4198,20250518,App,Complaint,In Progress
180,4995,20230608,App,Invoice question,Resolved
181,1150,20130902,Store,Cancellation request,In Progress
182,792,20200322,Website,Cancellation request,Resolved
183,2549,20171215,Phone,Information,In Progress
184,27,20240705,App,Cancellation request,Pending
185,528,19850222,Store,Information,Resolved
186,3843,20110422,Store,Plan change,Resolved
187,3491,20250322,Phone,Cancellation request,Resolved
188,1996,20190919,Social Media,Complaint,In Progress
189,2295,20190120,Website,Technical issue,Pending
190,306,20250607,Store,Invoice question,In Progress
191,1413,19950317,Social Media,Information,Pending
192,1925,20240430,Store,Information,Resolved
193,4205,20181002,App,Technical issue,In Progress
194,2237,20210307,Website,Plan change,Pending
195,1759,20250507,Phone,Invoice question,In Progress
196,1867,20181223,Phone,Cancellation request,In Progress
197,3792,20231017,Phone,Plan change,Pending
198,3500,20240807,Store,Invoice question,Pending
199,3090,20220723,App,Plan change,In Progress
200,1448,20211202,App,Complaint,Resolved
201,984,20250426,Website,Plan change,Resolved
202,2710,20221020,Phone,Complaint,In Progress
203,4768,20110916,App,Invoice question,Pending
204,4277,20210317,Store,Complaint,In Progress
205,4333,20231028,Store,Information,Pending
206,3814,20240722,Social Media,Cancellation request,In Progress
207,205,20050807,Phone,Complaint,Pending
208,2507,20070107,Store,Cancellation request,Pending
209,1828,20131002,Phone,Complaint,Pending
210,4433,20090909,Phone,Complaint,Resolved
211,1308,20220104,Store,Cancellation request,Pending
212,4020,20090527,App,Technical issue,In Progress
213,4843,20171019,App,Information,In Progress
214,2178,20250608,Store,Plan change,Resolved
215,1472,20211122,App,Cancellation request,Resolved
216,4469,20250212,App,Invoice question,Pending
217,2144,20220708,Social Media,Complaint,Pending
218,668,20220210,App,Cancellation request,Pending
219,350,20190517,Phone,Invoice question,Resolved
220,511,20230625,Phone,Technical issue,Resolved
221,3035,20231124,App,Information,Pending
222,1507,20220607,Store,Complaint,In Progress
223,721,20250425,Social Media,Invoice question,Pending
224,1060,19960613,Website,Complaint,Pending
225,614,20090908,Social Media,Plan change,Resolved
226,20,20231121,Social Media,Complaint,In Progress
227,1914,20090717,Store,Invoice question,Pending
228,3252,20241217,Phone,Complaint,Pending
229,3529,20150701,Website,Cancellation request,Resolved
230,2639,20240927,Store,Technical issue,Pending
231,4977,20150312,Store,Cancellation request,In Progress
232,4873,20241009,App,Information,Pending
233,1710,20180619,App,Complaint,Pending
234,312,19800426,Website,Technical issue,Pending
235,2466,20220303,Phone,Invoice question,Pending
236,3456,20200828,Website,Information,Resolved
237,4105,20140214,Store,Cancellation request,In Progress
238,3499,20110922,Social Media,Complaint,Pending
239,241,20240301,Phone,Technical issue,In Progress
240,996,20250403,Social Media,Cancellation request,Pending
241,4184,20170319,Store,Plan change,In Progress
242,1477,20240704,Store,Invoice question,In Progress
243,2413,20220116,Social Media,Technical issue,In Progress
244,4443,20060513,Store,Information,In Progress
245,732,20220827,Website,Technical issue,Resolved
246,4014,20200729,App,Invoice question,Pending
247,2129,20180924,App,Technical issue,Pending
248,2068,20010916,Phone,Technical issue,Resolved
249,3156,20201212,Social Media,Information,Pending
250,3267,19790925,Phone,Information,Resolved
251,3595,20071226,Social Media,Invoice question,Pending
252,2357,20241027,Website,Technical issue,In Progress
253,110,20200713,Social Media,Cancellation request,Resolved
254,4792,20230519,Social Media,Information,Pending
255,4605,20200916,Website,Cancellation request,In Progress
256,1622,20130729,Store,Technical issue,In Progress
257,1972,20250317,App,Plan change,Resolved
258,1270,20110615,Store,Information,Resolved
259,4951,20220915,Phone,Plan change,In Progress
260,4514,20071102,Store,Technical issue,Pending
261,403,20250108,Website,Information,In Progress
262,1060,19740124,Social Media,Cancellation request,Pending
263,2071,19980708,Social Media,Complaint,In Progress
264,3235,20241017,Website,Invoice question,Pending
265,4114,20201214,Store,Technical issue,Pending
266,1917,20210508,App,Complaint,Resolved
267,593,20230214,Website,Plan change,In Progress
268,4920,19940510,App,Information,Resolved
269,543,19861230,Store,Plan change,Pending
270,1206,19960120,Phone,Information,Pending
271,3960,20230304,Phone,Information,Resolved
272,32,20011025,Phone,Invoice question,In Progress
273,3167,20240415,Website,Technical issue,Resolved
274,2264,20180812,Social Media,Complaint,In Progress
275,4758,20010428,Phone,Invoice question,In Progress
276,1347,20070515,Website,Technical issue,In Progress
277,2581,20090906,App,Plan change,In Progress
278,3213,20220401,Phone,Technical issue,Resolved
279,2352,20211206,App,Plan change,Pending
280,4725,20170511,Social Media,Information,Resolved
281,3188,20240915,Store,Cancellation request,Pending
282,3357,20220928,App,Technical issue,Pending
283,2767,20090803,Social Media,Cancellation request,Pending
284,109,20170303,Phone,Plan change,In Progress
285,2517,20221014,Website,Invoice question,Pending
286,4256,20110917,Store,Invoice question,In Progress
287,4722,20240721,Social Media,Technical issue,In Progress
288,313,20241231,Phone,Technical issue,Pending
289,4499,20080520,Phone,Plan change,In Progress
290,3594,20140221,Store,Technical issue,Pending
291,245,20210601,Website,Information,In Progress
292,1264,20250409,App,Invoice question,Resolved
293,406,20250328,Phone,Complaint,Resolved
294,4207,20241128,Store,Plan change,Pending
295,3172,20090519,Social Media,Invoice question,Resolved
296,4908,20201202,Phone,Cancellation request,Pending
297,950,20241129,Store,Technical issue,Pending
298,1374,20120929,Store,Invoice question,Resolved
299,1214,20210622,Store,Technical issue,Resolved
300,4935,20250507,Social Media,Invoice question,Resolved
301,3153,20240706,Store,Plan change,Resolved
302,3127,20240521,App,Plan change,In Progress
303,2683,20241026,Store,Information,In Progress
304,3415,20160602,Phone,Cancellation request,Resolved
305,1016,20240906,Social Media,Plan change,Pending
306,4535,20100520,Social Media,Technical issue,Resolved
307,2911,20250107,Social Media,Technical issue,Pending
308,139,20170416,Phone,Complaint,Resolved
309,2565,20160720,Phone,Cancellation request,Resolved
310,4027,20141018,App,Information,Resolved
311,3892,20170124,Store,Cancellation request,Pending
312,4573,20191208,App,Complaint,Resolved
313,1912,20150621,App,Plan change,Pending
314,71,20080617,Store,Invoice question,In Progress
315,1310,20210120,Website,Invoice question,Pending
316,3487,20240305,Phone,Information,In Progress
317,2579,20171126,Store,Information,Pending
318,1889,20230306,Social Media,Technical issue,Pending
319,1896,20180523,Social Media,Complaint,Pending
320,1107,20120329,Store,Complaint,In Progress
321,2652,20200811,App,Technical issue,Resolved
322,2462,20211105,App,Plan change,In Progress
323,4852,20241014,Phone,Cancellation request,Resolved
324,2161,20240919,Store,Plan change,In Progress
325,144,20250125,App,Complaint,Resolved
326,3585,19980626,Phone,Technical issue,Resolved
327,1766,20180928,Website,Information,Resolved
328,3346,20240721,Social Media,Invoice question,Resolved
329,1603,20210606,Social Media,Cancellation request,Resolved
330,2189,20161001,Website,Plan change,In Progress
331,2153,20110901,Website,Complaint,Resolved
332,1640,20171218,Website,Cancellation request,Pending
333,70,20160207,Store,Plan change,In Progress
334,4855,20120330,Phone,Invoice question,Pending
335,2901,20241015,Website,Cancellation request,Resolved
336,345,20091020,Social Media,Plan change,Pending
337,1872,20240922,Store,Plan change,Pending
338,470,20041212,Social Media,Technical issue,In Progress
339,2615,20040411,Phone,Invoice question,In Progress
340,1497,20140814,Social Media,Invoice question,Pending
341,4839,20181218,Phone,Cancellation request,Pending
342,2645,20250125,App,Invoice question,Resolved
343,755,20230416,App,Cancellation request,In Progress
344,813,20090206,Website,Information,In Progress
345,2010,20241001,Website,Cancellation request,In Progress
346,4983,20100523,App,Complaint,Pending
347,2267,20080612,Social Media,Cancellation request,Pending
348,904,20240828,Phone,Plan change,Resolved
349,2242,20231210,App,Complaint,Pending
350,542,20050901,App,Invoice question,Resolved
351,2030,20220415,App,Plan change,In Progress
352,4811,20210206,Website,Cancellation request,Resolved
353,2697,20051231,Store,Technical issue,Resolved
354,1939,20170223,Store,Information,In Progress
355,2007,20250303,Store,Technical issue,Resolved
356,1922,19800118,Social Media,Complaint,Resolved
357,1920,20090616,App,Plan change,In Progress
358,1818,20250201,Store,Technical issue,Pending
359,940,20141216,Website,Plan change,Resolved
360,836,20240119,Website,Complaint,In Progress
361,581,20160513,App,Plan change,Pending
362,3564,20240328,Social Media,Complaint,Pending
363,4103,20081216,App,Complaint,Pending
364,3699,20250312,App,Complaint,In Progress
365,1871,19880716,Website,Information,Resolved
366,3440,19980718,Social Media,Technical issue,Pending
367,4187,20250304,App,Cancellation request,Pending
368,1926,20040912,App,Invoice question,Pending
369,4601,19840527,App,Invoice question,Pending
370,4548,20150421,Phone,Complaint,Resolved
371,3026,20181012,Store,Cancellation request,Pending
372,4325,20250509,Phone,Invoice question,Pending
373,236,19900911,App,Cancellation request,In Progress
374,1588,20210731,Website,Plan change,Pending
375,655,19951231,Store,Information,In Progress
376,3337,20241014,Website,Technical issue,Pending
377,620,20041205,Store,Information,In Progress
378,2862,20131018,Website,Cancellation request,In Progress
379,384,20240924,App,Complaint,Pending
380,4714,20200123,Phone,Cancellation request,In Progress
381,4500,20110105,Website,Invoice question,Pending
382,3112,20250411,Website,Information,In Progress
383,2321,20161214,Store,Cancellation request,In Progress
384,3651,20131106,App,Technical issue,Pending
385,1043,20140813,App,Plan change,Pending
386,4853,20190112,Store,Complaint,Resolved
387,1545,20250215,Website,Complaint,Resolved
388,2398,19911031,Phone,Complaint,Resolved
389,4014,20190521,Phone,Technical issue,In Progress
390,2502,20230728,Phone,Complaint,Pending
391,1119,20250609,App,Plan change,Pending
392,701,20240216,App,Complaint,Resolved
393,1232,20210424,App,Technical issue,Resolved
394,4066,20250609,Store,Information,Pending
395,4020,20121104,Phone,Plan change,Pending
396,4406,20180325,Phone,Technical issue,Pending
397,3442,20241127,App,Cancellation request,Resolved
398,2528,20250402,Social Media,Plan change,In Progress
399,2918,20220802,Social Media,Cancellation request,Resolved
400,1396,20160307,Website,Plan change,Resolved
401,2559,20220329,App,Cancellation request,Pending
402,486,20171106,Social Media,Invoice question,Resolved
403,1278,20000507,Social Media,Information,In Progress
404,2694,20210919,Store,Complaint,Resolved
405,2636,20040120,Phone,Plan change,In Progress
406,3953,20220716,Store,Information,In Progress
407,3125,20040104,Social Media,Invoice question,In Progress
408,464,20161028,App,Cancellation request,In Progress
409,3580,19880708,Website,Cancellation request,Pending
410,4982,20250512,App,Invoice question,Pending
411,1191,20140409,Website,Plan change,Pending
412,1533,20230430,App,Technical issue,In Progress
413,1870,20160413,Website,Cancellation request,Resolved
414,3264,20250324,App,Cancellation request,Pending
415,672,20240722,Phone,Complaint,Pending
416,2358,20200717,Phone,Invoice question,Resolved
417,1288,20171014,Phone,Invoice question,Pending
418,143,19881221,Store,Cancellation request,In Progress
419,4920,20001008,App,Complaint,Pending
420,2041,20240819,Website,Plan change,In Progress
421,244,20250206,App,Cancellation request,Pending
422,1986,20171029,Social Media,Invoice question,Pending
423,2561,20250524,Website,Cancellation request,Resolved
424,2217,20250531,Store,Information,In Progress
425,1326,20240131,Website,Cancellation request,Pending
426,3849,20240710,Website,Technical issue,Resolved
427,3434,20021030,Store,Information,In Progress
428,4845,20100918,App,Plan change,Pending
429,2292,20230303,App,Complaint,Pending
430,4089,20151002,Social Media,Complaint,Resolved
431,4953,20240612,Store,Complaint,Pending
432,253,20250101,Store,Technical issue,In Progress
433,4386,20241002,Phone,Invoice question,Resolved
434,2067,20091031,Phone,Invoice question,Resolved
435,957,20120721,Phone,Technical issue,Pending
436,3450,20220728,Website,Plan change,Pending
437,1855,20171027,Phone,Plan change,In Progress
438,2770,20220406,App,Information,In Progress
439,1301,20210424,Store,Complaint,Pending
440,2748,20110124,App,Technical issue,In Progress
441,1538,20060807,App,Complaint,Resolved
442,367,20041001,Social Media,Plan change,Pending
443,35,20171129,App,Plan change,Resolved
444,3439,20240523,Phone,Invoice question,In Progress
445,572,20081212,Phone,Cancellation request,In Progress
446,4079,20250528,Website,Complaint,In Progress
447,1675,20231213,Phone,Plan change,Pending
448,2544,20230522,Website,Complaint,Pending
449,2702,20240107,Store,Invoice question,Pending
450,1774,20241102,Social Media,Cancellation request,Resolved
451,1957,19961202,Social Media,Information,Resolved
452,1199,20230619,Phone,Information,In Progress
453,939,20240806,Website,Invoice question,Resolved
454,3601,20221015,App,Plan change,In Progress
455,1785,20191220,Social Media,Technical issue,Pending
456,4381,20220419,App,Cancellation request,Resolved
457,1480,20250405,Social Media,Plan change,Resolved
458,4810,20230614,Phone,Technical issue,Resolved
459,4792,20230610,Website,Cancellation request,Resolved
460,3526,20220118,Phone,Cancellation request,Resolved
461,4010,20020416,Social Media,Technical issue,Pending
462,1632,20241017,Store,Cancellation request,In Progress
463,4822,20200210,App,Cancellation request,Resolved
464,332,20010730,Store,Technical issue,In Progress
465,4883,20200529,Website,Technical issue,In Progress
466,1063,20180125,Store,Complaint,Resolved
467,4291,20220821,Phone,Cancellation request,Resolved
468,2246,19850520,App,Plan change,Pending
469,2452,20151101,Store,Complaint,In Progress
470,3110,19910307,Website,Plan change,Resolved
471,2875,20190907,Store,Invoice question,In Progress
472,4298,20190522,App,Complaint,Pending
473,2756,20181003,Store,Invoice question,Resolved
474,3852,20250420,Store,Plan change,Resolved
475,4800,20241108,Phone,Complaint,In Progress
476,4367,20240413,App,Cancellation request,Pending
477,1920,20030110,Store,Cancellation request,In Progress
478,2829,20111111,Store,Plan change,In Progress
479,4734,20161212,Website,Plan change,In Progress
480,4766,20250131,Social Media,Information,Pending
481,3318,20150809,Social Media,Invoice question,In Progress
482,4753,20030727,App,Technical issue,In Progress
483,1640,20121020,Store,Invoice question,In Progress
484,2808,20160525,Store,Cancellation request,Pending
485,3787,20160218,App,Invoice question,Pending
486,3414,20040622,Phone,Complaint,In Progress
487,1004,20240814,App,Technical issue,In Progress
488,1804,20250422,Phone,Cancellation request,Resolved
489,97,20230826,Website,Plan change,Resolved
490,2553,19950804,App,Complaint,Pending
491,2509,20190912,Social Media,Cancellation request,Resolved
492,2965,20140805,Store,Information,Pending
493,2097,20231230,Phone,Cancellation request,Resolved
494,3065,20150703,Phone,Technical issue,In Progress
495,519,20100322,Social Media,Cancellation request,In Progress
496,3336,20180908,Social Media,Plan change,In Progress
497,4160,20170114,Social Media,Invoice question,Resolved
498,1820,20240115,Store,Plan change,In Progress
499,2475,20220322,Website,Complaint,Resolved
500,3404,20230624,Social Media,Plan change,Resolved
501,3985,20170731,Store,Complaint,In Progress
502,3188,20241122,App,Information,Pending
503,1037,20231030,Social Media,Invoice question,Pending
504,1997,20160603,Store,Cancellation request,In Progress
505,1306,20141125,Website,Plan change,Pending
506,3678,20240802,Social Media,Invoice question,In Progress
507,3683,20240531,App,Information,In Progress
508,2995,20190713,Store,Complaint,Pending
509,2343,20180331,Phone,Information,Pending
510,3417,20040602,App,Technical issue,In Progress
511,2986,20230715,App,Cancellation request,In Progress
512,526,20250426,Store,Invoice question,In Progress
513,4732,20250218,Website,Invoice question,Resolved
514,3657,20230302,Phone,Technical issue,In Progress
515,509,20180804,Social Media,Cancellation request,Pending
516,1219,20101124,Phone,Cancellation request,Resolved
517,2516,19830305,Website,Invoice question,In Progress
518,1000,20120331,Store,Technical issue,In Progress
519,3999,19780724,Phone,Complaint,Resolved
520,2637,19920703,App,Information,Resolved
521,164,20220704,Phone,Complaint,Pending
522,4368,20130329,Phone,Cancellation request,In Progress
523,2070,20241224,Phone,Information,Pending
524,3479,19930601,Phone,Cancellation request,Resolved
525,4648,20000721,App,Complaint,In Progress
526,370,20250602,Store,Information,In Progress
527,3434,20181013,Social Media,Complaint,Pending
528,1295,20240507,App,Cancellation request,Pending
529,4354,20221219,App,Complaint,In Progress
530,761,19860904,App,Cancellation request,In Progress
531,4359,20180214,Phone,Cancellation request,In Progress
532,3100,20240927,App,Technical issue,In Progress
533,501,20190320,Website,Complaint,Resolved
534,1252,20250108,Phone,Plan change,Pending
535,908,20060513,Store,Cancellation request,Pending
536,2340,20170524,Store,Information,Resolved
537,807,20230604,Store,Complaint,Resolved
538,1408,20241105,Phone,Technical issue,Resolved
539,4448,20090904,Website,Plan change,Resolved
540,1192,20150617,App,Information,Pending
541,3277,20230731,App,Cancellation request,Resolved
542,2828,20230819,Social Media,Complaint,Resolved
543,4084,20240429,Website,Complaint,Pending
544,734,20240909,Phone,Complaint,In Progress
545,1550,20221006,Social Media,Information,Pending
546,3417,20171208,Website,Information,In Progress
547,777,20211105,App,Complaint,Pending
548,1418,20210413,Social Media,Information,Pending
549,4526,20240518,Website,Technical issue,In Progress
550,505,20200730,Website,Information,Pending
551,220,20250227,Store,Complaint,Pending
552,4104,20181120,App,Cancellation request,In Progress
553,4911,20230910,App,Invoice question,Pending
554,2688,19990101,Store,Cancellation request,In Progress
555,4908,20190717,App,Invoice question,In Progress
556,2927,20010728,Store,Cancellation request,In Progress
557,2982,20080825,Website,Cancellation request,In Progress
558,3813,20201226,App,Information,Resolved
559,2057,20250107,Website,Invoice question,Pending
560,3407,20230621,Website,Technical issue,Pending
561,2234,20240414,Social Media,Cancellation request,Resolved
562,3632,19971124,Phone,Information,Pending
563,1361,20230925,Social Media,Complaint,Resolved
564,336,20221019,App,Cancellation request,Resolved
565,683,20250116,Website,Plan change,Resolved
566,963,20230710,Website,Technical issue,Pending
567,287,20101116,App,Plan change,Pending
568,2933,20241122,Website,Cancellation request,Pending
569,4500,20191130,App,Cancellation request,In Progress
570,3536,20131023,Website,Complaint,In Progress
571,1105,20240130,Store,Information,In Progress
572,3387,20020810,App,Cancellation request,In Progress
573,4698,20080807,Website,Information,In Progress
574,1564,20100117,Phone,Invoice question,In Progress
575,1513,20050411,Social Media,Invoice question,In Progress
576,294,20241125,Phone,Cancellation request,In Progress
577,97,20241218,Phone,Cancellation request,In Progress
578,2649,20250106,Social Media,Complaint,In Progress
579,4045,19811218,Website,Cancellation request,Pending
580,1998,20250203,Store,Information,Pending
581,2059,20230510,Social Media,Technical issue,Resolved
582,3647,20201205,Social Media,Invoice question,Resolved
583,384,20250501,Phone,Complaint,In Progress
584,4536,20220411,Phone,Technical issue,Pending
585,1936,20250605,App,Invoice question,Resolved
586,4506,20080203,App,Plan change,In Progress
587,3846,20190605,Website,Plan change,Resolved
588,2374,20220324,Website,Complaint,Resolved
589,1117,20230309,Store,Cancellation request,Pending
590,1874,19770129,Store,Plan change,Pending
591,368,20221124,Store,Information,In Progress
592,1624,20221229,Social Media,Invoice question,Pending
593,4461,20180729,App,Complaint,In Progress
594,4039,20250505,Store,Technical issue,In Progress
595,3669,20181127,Phone,Complaint,In Progress
596,998,20080108,Phone,Information,Pending
597,127,20250103,Store,Complaint,In Progress
598,2245,20230705,Social Media,Plan change,In Progress
599,3816,20091201,App,Complaint,Pending
600,1952,20170519,Website,Complaint,In Progress
601,3534,20240301,App,Complaint,Pending
602,234,20250122,Website,Cancellation request,Pending
603,2995,20220624,App,Invoice question,Resolved
604,3438,20211205,Social Media,Technical issue,In Progress
605,1163,20111213,Social Media,Plan change,Resolved
606,1316,20250409,Website,Plan change,Resolved
607,3877,20180725,Social Media,Cancellation request,Pending
608,3241,20241002,Website,Cancellation request,Pending
609,3045,20221220,Store,Plan change,In Progress
610,311,20191206,App,Information,Pending
611,4962,20230724,Website,Invoice question,Pending
612,1490,20240409,Social Media,Information,Resolved
613,314,19871223,Phone,Invoice question,Resolved
614,3270,20250222,Social Media,Plan change,Resolved
615,3333,20240521,Website,Information,Pending
616,4818,20240825,Social Media,Cancellation request,Resolved
617,705,20220611,Store,Invoice question,In Progress
618,2284,20141120,App,Invoice question,Pending
619,3268,20211202,Phone,Complaint,In Progress
620,3896,20140415,Phone,Information,In Progress
621,1245,20240709,Store,Cancellation request,In Progress
622,1389,20241208,Store,Plan change,In Progress
623,2075,20181208,Website,Cancellation request,In Progress
624,924,20211128,Store,Information,Resolved
625,1791,20000918,Website,Technical issue,Resolved
626,1559,20230831,App,Technical issue,Resolved
