invoice_id,customer_id,due_date_id,payment_date_id,total_amount,paid_amount,invoice_status
39,150,20250315,20250312.0,125.71,125.71,Paid
40,1819,20230625,20230623.0,140.97,140.97,Paid
41,277,20060802,20060728.0,360.54,360.54,Paid
42,169,20250201,20250131.0,399.58,399.58,Paid
43,4331,19950609,19950609.0,437.63,437.63,Paid
44,2295,20250608,,111.98,0.0,Overdue
45,4402,20250128,20250127.0,212.63,212.63,Paid
46,2410,20151227,20151224.0,256.65,256.65,Paid
47,3763,19920622,,395.64,0.0,Overdue
48,3144,20240826,20240821.0,86.35,86.35,Paid
49,1518,20230708,20230706.0,395.33,395.33,Paid
50,4763,19930221,19930220.0,247.04,247.04,Paid
51,2150,20080721,20080718.0,247.36,247.36,Paid
52,1192,20151102,20151028.0,276.25,276.25,Paid
53,1993,20240901,20240829.0,285.26,285.26,Paid
54,1414,20200524,20200524.0,154.6,154.6,Paid
55,3599,20061123,20061118.0,156.3,156.3,Paid
56,2602,20210804,20210801.0,289.1,289.1,Paid
57,1135,20090103,,436.5,0.0,Overdue
58,2477,20060904,20060831.0,378.12,378.12,Paid
59,3419,20210512,20210508.0,343.74,343.74,Paid
60,820,20200216,20200215.0,406.71,406.71,Paid
61,3963,20240109,20240105.0,398.38,398.38,Paid
62,488,20111015,20111010.0,390.0,390.0,Paid
63,3462,20240413,20240409.0,309.06,309.06,Paid
64,2109,20110705,20110704.0,157.76,157.76,Paid
65,484,20201223,,112.49,0.0,Overdue
66,4707,20240529,20240528.0,368.8,368.8,Paid
67,2249,20250428,20250424.0,412.61,412.61,Paid
68,58,20241030,20241025.0,193.42,193.42,Paid
69,4713,20150418,20150413.0,310.84,310.84,Paid
70,3114,20161115,20161114.0,166.14,166.14,Paid
71,1815,20230315,20230311.0,200.33,200.33,Paid
72,3439,20080923,20080919.0,278.64,278.64,Paid
73,4066,20120401,20120328.0,345.57,345.57,Paid
74,4724,20111119,20111114.0,215.43,215.43,Paid
75,3381,20181118,20181116.0,305.36,305.36,Paid
76,2335,20220516,20220515.0,48.07,48.07,Paid
77,39,20240309,20240304.0,434.29,434.29,Paid
78,3833,20190414,20190411.0,387.94,387.94,Paid
79,65,20151111,20151108.0,170.59,170.59,Paid
80,4087,20250417,20250412.0,299.16,299.16,Paid
81,1232,20200407,20200403.0,212.35,212.35,Paid
82,4225,20140219,20140215.0,347.96,347.96,Paid
83,2805,19950324,19950319.0,115.23,115.23,Paid
84,3767,20220412,20220412.0,297.32,297.32,Paid
85,1557,20220505,20220502.0,37.92,37.92,Paid
86,41,20031201,20031126.0,53.24,53.24,Paid
87,417,20160521,20160519.0,405.61,405.61,Paid
88,3727,20030522,20030517.0,50.42,50.42,Paid
89,881,20040303,20040229.0,178.19,178.19,Paid
90,4848,20250513,20250508.0,282.46,282.46,Paid
91,953,20160307,,146.13,0.0,Overdue
92,2000,20250318,20250318.0,446.69,446.69,Paid
93,77,20211010,20211007.0,408.17,408.17,Paid
94,4757,20140407,20140407.0,411.85,411.85,Paid
95,4768,20010319,20010315.0,163.17,163.17,Paid
96,4065,20190626,20190625.0,55.75,55.75,Paid
97,1543,20230422,20230417.0,444.57,444.57,Paid
98,201,20200531,,119.97,0.0,Overdue
99,2525,20151206,20151202.0,413.19,413.19,Paid
100,3419,20210907,20210907.0,377.62,377.62,Paid
101,1578,20210609,20210604.0,234.67,234.67,Paid
102,971,19910923,,300.17,0.0,Overdue
103,1111,20150621,20150617.0,69.37,69.37,Paid
104,3055,20181209,20181204.0,213.42,213.42,Paid
105,4324,20250221,20250221.0,275.26,275.26,Paid
106,353,20250607,20250603.0,173.48,173.48,Paid
107,4692,20211008,20211006.0,75.21,75.21,Paid
108,32,20230312,20230308.0,149.59,149.59,Paid
109,341,19950605,19950602.0,315.67,315.67,Paid
110,2234,20031010,20031009.0,303.26,303.26,Paid
111,1988,20220331,20220327.0,120.08,120.08,Paid
112,392,20250406,20250401.0,268.45,268.45,Paid
113,3420,20061210,20061205.0,34.31,34.31,Paid
114,211,20150806,20150802.0,145.27,145.27,Paid
115,4025,19770316,19770312.0,213.13,213.13,Paid
116,1928,20160210,20160205.0,321.75,321.75,Paid
117,1078,20220209,20220207.0,121.17,121.17,Paid
118,3919,20200131,20200131.0,296.67,296.67,Paid
119,2510,19980624,19980621.0,230.02,230.02,Paid
120,3222,20030216,20030212.0,222.34,222.34,Paid
121,1280,20120716,20120714.0,428.07,428.07,Paid
122,4221,19951008,19951008.0,121.51,121.51,Paid
123,2112,20160425,20160422.0,430.18,430.18,Paid
124,3248,20211023,20211020.0,250.68,250.68,Paid
125,4166,20211017,20211012.0,134.77,134.77,Paid
126,4778,20141209,20141206.0,118.08,118.08,Paid
127,548,20130902,20130902.0,362.48,362.48,Paid
128,3753,20240321,20240316.0,120.7,120.7,Paid
129,2050,20220405,20220404.0,76.13,76.13,Paid
130,2225,20201006,,157.67,0.0,Overdue
131,1209,20220416,20220413.0,128.71,128.71,Paid
132,3654,20070625,20070625.0,178.66,178.66,Paid
133,2614,20250530,,407.71,0.0,Overdue
134,3091,20170406,,345.51,0.0,Overdue
135,3848,20250607,20250605.0,79.02,79.02,Paid
136,945,20230825,20230820.0,153.47,153.47,Paid
137,3982,19960807,19960803.0,391.01,391.01,Paid
138,2874,20081010,20081007.0,307.39,307.39,Paid
139,1118,20130114,20130111.0,305.84,305.84,Paid
140,3840,20180918,20180913.0,414.21,414.21,Paid
141,467,20210129,20210125.0,389.03,389.03,Paid
142,266,20250105,20250104.0,416.25,416.25,Paid
143,3967,20250329,20250324.0,87.23,87.23,Paid
144,1960,20220210,20220210.0,233.22,233.22,Paid
145,2821,20140423,20140419.0,133.13,133.13,Paid
146,3920,20170316,20170315.0,238.73,238.73,Paid
147,3742,20250523,,290.96,0.0,Overdue
148,3512,20240116,20240113.0,324.49,324.49,Paid
149,4897,20120904,20120830.0,379.15,379.15,Paid
150,4538,20170430,20170429.0,139.32,139.32,Paid
151,2827,20220405,20220331.0,301.33,301.33,Paid
152,1006,20240901,20240831.0,214.25,214.25,Paid
153,3986,20250105,20250104.0,213.05,213.05,Paid
154,3703,19770728,19770724.0,243.83,243.83,Paid
155,2861,20130303,20130301.0,377.1,377.1,Paid
156,4416,20250606,20250606.0,41.35,41.35,Paid
157,1972,20240206,20240205.0,228.04,228.04,Paid
158,4866,20241024,20241022.0,394.71,394.71,Paid
159,3565,20010409,20010406.0,283.51,283.51,Paid
160,3090,20241220,,263.02,0.0,Overdue
161,3655,20180117,20180114.0,100.73,100.73,Paid
162,3866,20241119,20241119.0,139.53,139.53,Paid
163,4648,19870205,19870205.0,206.54,206.54,Paid
164,4220,19820513,19820513.0,402.16,402.16,Paid
165,4805,20090910,20090905.0,311.11,311.11,Paid
166,3720,20240527,20240523.0,57.88,57.88,Paid
167,1305,20240417,20240414.0,331.99,331.99,Paid
168,4123,20041126,20041125.0,108.71,108.71,Paid
169,3114,20221211,20221211.0,281.17,281.17,Paid
170,4298,20101014,20101014.0,149.29,149.29,Paid
171,3062,20240102,20231230.0,151.93,151.93,Paid
172,3742,20241003,20241002.0,287.6,287.6,Paid
173,4032,20201014,,256.76,0.0,Overdue
174,3379,20250608,20250605.0,193.68,193.68,Paid
175,1317,20060603,20060603.0,192.04,192.04,Paid
176,1908,20200106,20200102.0,162.58,162.58,Paid
177,86,20230404,20230403.0,110.07,110.07,Paid
178,4055,20161227,20161226.0,329.65,329.65,Paid
179,1234,20141113,20141112.0,390.48,390.48,Paid
180,1125,20200611,20200608.0,86.09,86.09,Paid
181,2961,20200721,20200716.0,395.07,395.07,Paid
182,1765,20170510,20170507.0,272.83,272.83,Paid
183,3471,20130708,20130705.0,318.59,318.59,Paid
184,3353,20250502,20250428.0,218.69,218.69,Paid
185,3311,20231118,20231117.0,425.5,425.5,Paid
186,2666,20230210,20230208.0,52.1,52.1,Paid
187,2389,20170724,20170722.0,108.53,108.53,Paid
188,556,20201119,20201116.0,138.47,138.47,Paid
189,331,20250315,20250310.0,354.42,354.42,Paid
190,3014,20170511,,181.85,0.0,Overdue
191,4454,20230418,20230413.0,67.64,67.64,Paid
192,1984,20240809,20240805.0,101.7,101.7,Paid
193,4897,20180615,20180615.0,379.14,379.14,Paid
194,4290,20040329,20040326.0,57.3,57.3,Paid
195,4164,20230916,20230916.0,364.22,364.22,Paid
196,4272,20240328,20240325.0,264.69,264.69,Paid
197,2765,20200825,,365.66,0.0,Overdue
198,4292,20250102,20250102.0,102.06,102.06,Paid
199,4364,20120526,20120522.0,359.99,359.99,Paid
200,4311,20240602,20240529.0,290.88,290.88,Paid
201,4910,20240105,20240104.0,417.48,417.48,Paid
202,2607,20130331,,243.35,0.0,Overdue
203,4823,20170320,20170315.0,55.77,55.77,Paid
204,2332,20250326,20250321.0,187.34,187.34,Paid
205,288,20210924,20210919.0,40.6,40.6,Paid
206,2170,20210601,20210527.0,274.61,274.61,Paid
207,2859,19960531,19960527.0,42.55,42.55,Paid
208,224,20010909,20010908.0,224.43,224.43,Paid
209,3316,19961218,19961213.0,367.95,367.95,Paid
210,2778,20130725,20130720.0,297.65,297.65,Paid
211,1835,19940203,19940130.0,221.13,221.13,Paid
212,4278,20240720,,142.38,0.0,Overdue
213,1650,20241226,20241222.0,120.75,120.75,Paid
214,2053,20171008,20171005.0,131.3,131.3,Paid
215,2342,20250408,20250405.0,355.22,355.22,Paid
216,1605,20241025,20241023.0,370.71,370.71,Paid
217,1048,20080524,20080524.0,61.86,61.86,Paid
218,900,20240823,20240821.0,413.54,413.54,Paid
219,1660,19980917,19980913.0,88.08,88.08,Paid
220,2311,20191021,20191019.0,135.9,135.9,Paid
221,4212,19900620,19900618.0,92.32,92.32,Paid
222,3932,20120419,20120419.0,76.28,76.28,Paid
223,2975,20241015,20241010.0,159.22,159.22,Paid
224,906,20080213,20080210.0,256.85,256.85,Paid
225,145,20150222,20150222.0,432.59,432.59,Paid
226,3649,20240630,20240628.0,293.65,293.65,Paid
227,4394,20250526,20250522.0,198.75,198.75,Paid
228,668,20221019,20221015.0,116.89,116.89,Paid
229,343,20240521,,121.93,0.0,Overdue
230,4909,20200731,20200729.0,151.31,151.31,Paid
231,2585,20090317,20090315.0,186.54,186.54,Paid
232,3802,20221123,20221120.0,295.24,295.24,Paid
233,47,20170119,20170117.0,257.91,257.91,Paid
234,2811,20241130,20241129.0,182.1,182.1,Paid
235,846,20160513,20160512.0,297.35,297.35,Paid
236,2910,20121020,20121020.0,437.25,437.25,Paid
237,4177,20201008,20201004.0,166.05,166.05,Paid
238,1427,20050104,20050103.0,99.76,99.76,Paid
239,3354,20141109,20141109.0,58.99,58.99,Paid
240,1035,20250530,20250527.0,237.59,237.59,Paid
241,4466,20040711,20040707.0,437.45,437.45,Paid
242,4967,20070127,20070122.0,420.3,420.3,Paid
243,583,20250531,20250526.0,151.59,151.59,Paid
244,1843,20221024,,368.23,0.0,Overdue
245,3814,20231227,20231227.0,145.12,145.12,Paid
246,3174,20171021,20171019.0,295.03,295.03,Paid
247,1114,20200820,20200820.0,266.03,266.03,Paid
248,899,19860907,19860902.0,177.74,177.74,Paid
249,4266,20230319,20230318.0,118.16,118.16,Paid
250,3764,19841009,19841009.0,285.69,285.69,Paid
251,3756,20230615,20230613.0,311.82,311.82,Paid
252,4245,20100319,20100315.0,277.2,277.2,Paid
253,3503,19870101,19870101.0,228.67,228.67,Paid
254,4634,20250525,20250521.0,250.48,250.48,Paid
255,3533,20201102,20201101.0,323.25,323.25,Paid
256,4102,20221224,20221220.0,367.85,367.85,Paid
257,297,20230117,20230115.0,202.88,202.88,Paid
258,325,19900410,19900406.0,140.34,140.34,Paid
259,4845,20250327,20250326.0,175.95,175.95,Paid
260,4809,20181102,20181028.0,51.57,51.57,Paid
261,1791,20250208,20250204.0,319.5,319.5,Paid
262,3751,20221103,20221031.0,290.67,290.67,Paid
263,2120,20100910,20100909.0,292.85,292.85,Paid
264,2057,19850622,,125.17,0.0,Overdue
265,2131,20091127,20091127.0,39.35,39.35,Paid
266,2277,20250203,20250203.0,383.92,383.92,Paid
267,3660,20211223,20211223.0,269.25,269.25,Paid
268,2226,20061109,20061106.0,425.15,425.15,Paid
269,3419,20210513,20210511.0,399.4,399.4,Paid
270,198,20241104,20241031.0,89.0,89.0,Paid
271,2119,20250602,20250529.0,194.6,194.6,Paid
272,2115,20171217,,209.64,0.0,Overdue
273,1724,20241212,20241209.0,247.4,247.4,Paid
274,1406,19710811,19710809.0,37.76,37.76,Paid
275,3466,20210130,20210128.0,245.34,245.34,Paid
276,834,20211216,20211216.0,330.95,330.95,Paid
277,4688,20040818,20040814.0,80.49,80.49,Paid
278,345,20181017,20181012.0,422.91,422.91,Paid
279,3187,20250305,20250304.0,406.32,406.32,Paid
280,2734,20241110,20241105.0,211.66,211.66,Paid
281,367,20090218,,344.33,0.0,Overdue
282,4745,20200821,,439.75,0.0,Overdue
283,4854,20250503,20250430.0,325.64,325.64,Paid
284,784,20200208,20200205.0,349.08,349.08,Paid
285,3796,20190919,20190917.0,259.56,259.56,Paid
286,2570,20230702,,108.71,0.0,Overdue
287,668,20231125,20231125.0,445.63,445.63,Paid
288,4100,20060801,20060801.0,102.01,102.01,Paid
289,3006,20240826,20240821.0,77.85,77.85,Paid
290,2976,19950518,,159.25,0.0,Overdue
291,1614,20221024,20221022.0,283.67,283.67,Paid
292,1075,20231117,20231115.0,161.66,161.66,Paid
293,1628,20240927,20240924.0,280.51,280.51,Paid
294,2003,20191110,20191109.0,401.97,401.97,Paid
295,1451,19970814,19970812.0,300.38,300.38,Paid
296,2603,20180710,20180706.0,221.64,221.64,Paid
297,2710,20130715,20130711.0,55.59,55.59,Paid
298,1892,19860219,19860219.0,163.92,163.92,Paid
299,4080,20010418,20010413.0,381.9,381.9,Paid
300,4818,20050213,20050210.0,360.19,360.19,Paid
301,1556,20160301,20160226.0,297.78,297.78,Paid
302,538,20210626,20210623.0,229.75,229.75,Paid
303,1899,20220606,20220604.0,248.7,248.7,Paid
304,944,20250207,20250207.0,345.87,345.87,Paid
305,4477,20040506,20040503.0,73.29,73.29,Paid
306,3851,20231224,20231220.0,373.72,373.72,Paid
307,4613,20240909,20240907.0,116.04,116.04,Paid
308,4611,20210226,20210221.0,188.6,188.6,Paid
309,1673,20180225,20180223.0,220.82,220.82,Paid
310,2925,20231105,20231105.0,278.99,278.99,Paid
311,3996,20201122,20201121.0,30.14,30.14,Paid
312,3080,20180712,,416.69,0.0,Overdue
313,4439,20010117,20010117.0,229.45,229.45,Paid
314,3681,20210429,20210428.0,188.73,188.73,Paid
315,4768,20050529,20050525.0,324.16,324.16,Paid
316,3611,20231024,20231021.0,52.08,52.08,Paid
317,2107,20081125,20081122.0,365.05,365.05,Paid
318,869,20160616,20160613.0,145.15,145.15,Paid
319,4833,20110923,20110918.0,321.41,321.41,Paid
320,3233,20240528,20240524.0,77.93,77.93,Paid
321,3981,20051116,20051111.0,86.26,86.26,Paid
322,727,20240323,20240321.0,429.08,429.08,Paid
323,1071,19990705,19990630.0,292.61,292.61,Paid
324,711,20250117,,81.73,0.0,Overdue
325,4460,20240715,20240712.0,438.86,438.86,Paid
326,441,20131101,20131027.0,286.86,286.86,Paid
327,724,20250416,20250414.0,428.41,428.41,Paid
328,3369,20240325,20240324.0,337.64,337.64,Paid
329,3157,20211223,20211218.0,276.32,276.32,Paid
330,4836,20240729,20240724.0,34.78,34.78,Paid
331,1404,20191128,20191128.0,372.18,372.18,Paid
332,610,20250523,20250521.0,247.0,247.0,Paid
333,2861,20231229,20231228.0,120.14,120.14,Paid
334,2182,20250417,20250416.0,108.33,108.33,Paid
335,2133,20250105,20250101.0,105.56,105.56,Paid
336,2992,20210405,20210331.0,211.03,211.03,Paid
337,344,20230512,20230512.0,273.89,273.89,Paid
338,2057,20230915,20230915.0,244.27,244.27,Paid
339,3881,19981029,19981024.0,267.25,267.25,Paid
340,4518,20221111,20221106.0,258.38,258.38,Paid
341,777,20090317,20090317.0,327.36,327.36,Paid
342,2224,20210622,20210620.0,317.89,317.89,Paid
343,3347,20250225,20250221.0,355.17,355.17,Paid
344,2517,19920119,19920118.0,342.66,342.66,Paid
345,4572,20090619,20090618.0,288.36,288.36,Paid
346,1450,20061226,,267.69,0.0,Overdue
347,127,20200926,20200926.0,170.67,170.67,Paid
348,2991,20131219,20131218.0,369.94,369.94,Paid
349,1917,20140614,20140610.0,220.15,220.15,Paid
350,2125,20070124,20070124.0,242.8,242.8,Paid
351,1840,20150322,20150317.0,175.73,175.73,Paid
352,1881,19731204,19731202.0,440.21,440.21,Paid
353,3217,20250401,20250328.0,147.56,147.56,Paid
354,280,20250606,20250605.0,236.19,236.19,Paid
355,2526,20190704,20190704.0,254.57,254.57,Paid
356,3643,20180802,20180731.0,129.04,129.04,Paid
357,1414,20161215,20161212.0,415.68,415.68,Paid
358,2133,20211116,20211111.0,128.55,128.55,Paid
359,4272,20110826,20110824.0,206.32,206.32,Paid
360,4240,20250518,20250514.0,240.67,240.67,Paid
361,3867,20250111,20250107.0,40.22,40.22,Paid
362,1104,20240618,20240614.0,349.42,349.42,Paid
363,4153,20241025,20241022.0,72.18,72.18,Paid
364,3786,20211010,20211005.0,240.85,240.85,Paid
365,1939,20131014,20131012.0,329.01,329.01,Paid
366,4919,20250314,20250311.0,106.01,106.01,Paid
367,4907,20190901,20190830.0,55.97,55.97,Paid
368,1038,20120406,20120404.0,433.89,433.89,Paid
369,3261,20230627,20230623.0,75.16,75.16,Paid
370,3914,20160203,20160131.0,56.19,56.19,Paid
371,1709,20061107,20061104.0,229.13,229.13,Paid
372,283,20060905,20060903.0,93.38,93.38,Paid
373,3858,20210602,20210602.0,324.65,324.65,Paid
374,3255,20210829,20210827.0,296.97,296.97,Paid
375,2690,20241101,20241030.0,395.19,395.19,Paid
376,4245,20190508,20190507.0,228.36,228.36,Paid
377,3267,20170318,20170316.0,206.96,206.96,Paid
378,3377,20220705,20220630.0,206.76,206.76,Paid
379,3347,20230411,20230408.0,147.78,147.78,Paid
380,1316,20240917,20240913.0,303.64,303.64,Paid
381,2681,20011018,20011017.0,52.73,52.73,Paid
382,4677,20210918,20210915.0,222.79,222.79,Paid
383,2490,20181109,20181104.0,77.39,77.39,Paid
384,3898,20240211,20240211.0,333.1,333.1,Paid
385,1172,20241018,20241017.0,305.11,305.11,Paid
386,3322,19731226,19731224.0,78.95,78.95,Paid
387,176,20250419,20250417.0,298.08,298.08,Paid
388,4997,20021222,20021217.0,100.98,100.98,Paid
389,214,20130301,20130301.0,404.97,404.97,Paid
390,4529,20230204,20230203.0,245.95,245.95,Paid
391,4466,20160922,20160920.0,62.04,62.04,Paid
392,1894,20180511,20180506.0,42.81,42.81,Paid
393,4864,20210729,20210724.0,278.17,278.17,Paid
394,4220,20110911,20110907.0,374.72,374.72,Paid
395,3728,20220906,20220904.0,92.79,92.79,Paid
396,1836,20231102,20231102.0,352.82,352.82,Paid
397,3198,20140901,20140830.0,76.58,76.58,Paid
398,2328,20240515,20240512.0,331.64,331.64,Paid
399,3497,20151223,20151223.0,370.54,370.54,Paid
400,3418,20180324,20180323.0,220.73,220.73,Paid
401,1589,20200605,20200605.0,211.85,211.85,Paid
402,994,20200809,20200809.0,133.06,133.06,Paid
403,4474,20160830,20160829.0,184.28,184.28,Paid
404,2985,20250513,20250513.0,45.17,45.17,Paid
405,3091,20250513,20250508.0,312.76,312.76,Paid
406,1573,20240313,20240309.0,267.01,267.01,Paid
407,3970,20250606,20250604.0,248.35,248.35,Paid
408,4826,20230117,20230114.0,424.77,424.77,Paid
409,4306,20150111,20150106.0,368.78,368.78,Paid
410,3155,20130309,20130306.0,191.96,191.96,Paid
411,565,20211130,20211126.0,257.1,257.1,Paid
412,4474,20210819,20210814.0,273.07,273.07,Paid
413,1325,20070625,20070621.0,58.83,58.83,Paid
414,663,20250608,20250606.0,299.74,299.74,Paid
415,4721,20250602,20250601.0,44.23,44.23,Paid
416,2172,20240823,20240822.0,239.12,239.12,Paid
417,1,20170521,20170519.0,242.85,242.85,Paid
418,4331,20100723,20100723.0,93.13,93.13,Paid
419,4806,20090402,20090401.0,314.37,314.37,Paid
420,582,20240809,20240806.0,188.15,188.15,Paid
421,141,20220710,20220709.0,80.53,80.53,Paid
422,2145,20250206,20250201.0,417.65,417.65,Paid
423,4915,20181001,20180927.0,44.6,44.6,Paid
424,237,20240609,20240605.0,425.09,425.09,Paid
425,2964,20240808,20240807.0,310.31,310.31,Paid
426,2561,20061014,20061013.0,358.97,358.97,Paid
427,265,20241031,20241030.0,257.56,257.56,Paid
428,37,20091212,,222.3,0.0,Overdue
429,3425,20180509,20180504.0,150.72,150.72,Paid
430,3918,20181226,20181223.0,74.05,74.05,Paid
431,4285,20200501,20200429.0,239.99,239.99,Paid
432,1247,20231130,20231128.0,303.58,303.58,Paid
433,566,20240911,20240911.0,406.03,406.03,Paid
434,1691,20020622,20020620.0,146.02,146.02,Paid
435,3280,20120215,20120215.0,354.35,354.35,Paid
436,1974,20240428,20240427.0,98.04,98.04,Paid
437,413,20241202,20241202.0,281.56,281.56,Paid
438,4103,20081208,20081205.0,46.73,46.73,Paid
439,663,20250504,20250504.0,114.41,114.41,Paid
440,896,20240104,20240102.0,328.48,328.48,Paid
441,3085,20180525,20180523.0,277.36,277.36,Paid
442,2113,20250421,20250420.0,309.7,309.7,Paid
443,4973,20230928,20230927.0,41.39,41.39,Paid
444,587,20170211,20170211.0,134.71,134.71,Paid
445,1878,20240814,20240813.0,257.74,257.74,Paid
446,3049,20230714,20230712.0,83.36,83.36,Paid
447,885,20220506,20220503.0,140.83,140.83,Paid
448,4510,20220727,,148.53,0.0,Overdue
449,3170,20090403,20090329.0,313.17,313.17,Paid
450,2783,20231028,20231027.0,363.2,363.2,Paid
451,3578,20220213,20220210.0,285.24,285.24,Paid
452,2509,20150207,20150203.0,391.78,391.78,Paid
453,4329,20250607,20250602.0,380.21,380.21,Paid
454,3904,20240205,,94.21,0.0,Overdue
455,2606,20190806,20190805.0,376.95,376.95,Paid
456,4410,20151026,20151026.0,250.34,250.34,Paid
457,4515,20240204,,354.85,0.0,Overdue
458,1133,20020705,20020703.0,62.91,62.91,Paid
459,457,20080704,20080701.0,420.06,420.06,Paid
460,477,19820916,19820914.0,385.12,385.12,Paid
461,4748,20240611,20240606.0,264.56,264.56,Paid
462,1783,20130727,20130723.0,325.74,325.74,Paid
463,2293,20031012,20031010.0,180.65,180.65,Paid
464,1124,20151023,20151018.0,149.6,149.6,Paid
465,3696,20240904,20240902.0,255.21,255.21,Paid
466,4657,20241218,,191.7,0.0,Overdue
467,1476,20050721,20050720.0,406.52,406.52,Paid
468,607,20231008,20231003.0,178.17,178.17,Paid
469,4328,20250531,20250530.0,61.23,61.23,Paid
470,3409,20001121,20001120.0,102.43,102.43,Paid
471,1599,20220826,20220821.0,162.52,162.52,Paid
472,4339,20141214,20141212.0,167.08,167.08,Paid
473,3787,20250602,20250528.0,376.38,376.38,Paid
474,4015,20250515,20250515.0,93.05,93.05,Paid
475,1294,20230125,20230123.0,368.73,368.73,Paid
476,3933,20241109,20241104.0,192.55,192.55,Paid
477,1170,20220429,20220427.0,365.69,365.69,Paid
478,3548,20090217,20090212.0,68.31,68.31,Paid
479,1360,20161210,20161210.0,350.43,350.43,Paid
480,4622,19900822,19900820.0,341.41,341.41,Paid
481,2112,20130219,20130214.0,414.45,414.45,Paid
482,1083,20250305,20250303.0,351.83,351.83,Paid
483,2845,20160522,20160518.0,309.86,309.86,Paid
484,1083,20220402,20220402.0,354.19,354.19,Paid
485,1074,20210127,20210124.0,34.64,34.64,Paid
486,4802,20230916,20230911.0,35.92,35.92,Paid
487,4423,20231005,20231005.0,382.78,382.78,Paid
488,4641,20250430,20250427.0,61.17,61.17,Paid
489,4837,20040420,20040415.0,252.03,252.03,Paid
490,2756,19830424,19830421.0,243.16,243.16,Paid
491,508,19780629,19780625.0,269.69,269.69,Paid
492,2893,20250421,20250418.0,429.26,429.26,Paid
493,1179,20151120,20151119.0,74.08,74.08,Paid
494,3979,20240120,20240120.0,98.44,98.44,Paid
495,1969,20041208,20041204.0,270.35,270.35,Paid
496,3483,20221021,20221020.0,342.08,342.08,Paid
497,2205,20031023,20031023.0,331.46,331.46,Paid
498,2029,20140516,20140511.0,292.17,292.17,Paid
499,1001,20240421,20240417.0,97.0,97.0,Paid
500,1600,19970131,19970130.0,304.73,304.73,Paid
501,189,20240112,20240108.0,442.98,442.98,Paid
502,1328,20240928,20240928.0,207.17,207.17,Paid
503,4267,20011117,20011116.0,443.32,443.32,Paid
504,2492,20241018,20241018.0,151.97,151.97,Paid
505,2901,20221217,20221216.0,71.04,71.04,Paid
506,3147,20210531,20210526.0,311.2,311.2,Paid
507,3835,20101218,20101218.0,309.93,309.93,Paid
508,4048,20150629,20150624.0,108.09,108.09,Paid
509,3231,20240421,20240419.0,61.92,61.92,Paid
510,4584,20180810,20180808.0,259.48,259.48,Paid
511,2292,20240921,20240918.0,281.3,281.3,Paid
512,3035,19970924,19970922.0,256.55,256.55,Paid
513,1751,20240606,20240603.0,86.11,86.11,Paid
514,1477,20230702,,120.87,0.0,Overdue
515,3149,19980514,,294.37,0.0,Overdue
516,1834,20241008,,78.42,0.0,Overdue
517,4174,20250316,20250311.0,148.7,148.7,Paid
518,3237,20090424,20090424.0,170.78,170.78,Paid
519,496,20240304,20240301.0,233.72,233.72,Paid
520,2988,20230525,20230520.0,184.32,184.32,Paid
521,4855,20210128,20210125.0,378.29,378.29,Paid
522,3353,20250506,20250505.0,374.58,374.58,Paid
523,4240,20240324,20240321.0,156.76,156.76,Paid
524,3386,20121225,20121223.0,138.61,138.61,Paid
525,3309,20130112,20130107.0,287.74,287.74,Paid
